Case_ID,Department,Region,Priority,Channel,Customer_Type,Created_Date,Closed_Date,SLA_Days,Resolution_Hours,Status,SLA_Breach,Agent_ID,Reopen_Flag,Customer_Rating
CASE-100017,Claims Processing,East,Low,Portal,SME,2023-05-11,2023-05-16 00:00:00,15,120,Closed,0.0,AGT-281,0,2.0
CASE-100018,Onboarding,South,Low,Phone,Retail,2024-10-23,2024-10-24 04:00:00,3,28,Closed,0.0,AGT-282,0,5.0
CASE-100019,Claims Processing,West,Low,Email,Retail,2023-11-05,2023-11-05 23:00:00,3,23,Closed,0.0,AGT-172,0,3.0
CASE-100020,Billing,South,High,Portal,Retail,2023-12-10,2023-12-11 09:00:00,3,33,Closed,0.0,AGT-255,0,5.0
CASE-100021,Billing,North,Low,Chat,Retail,2024-05-06,2024-05-08 22:00:00,7,70,Closed,0.0,AGT-173,0,4.0
CASE-100022,Claims Processing,South,Medium,Phone,SME,2024-02-18,2024-02-19 09:00:00,3,33,Closed,0.0,AGT-225,1,4.0
CASE-100023,Billing,North,High,Phone,Retail,2024-01-21,2024-01-22 08:00:00,7,32,Closed,0.0,AGT-149,1,3.0
CASE-100024,Claims Processing,West,Medium,Email,Retail,2023-07-11,2023-07-12 17:00:00,5,41,Closed,0.0,AGT-127,0,5.0
CASE-100025,Billing,North,Medium,Chat,Retail,2023-10-04,2023-10-05 06:00:00,5,30,Closed,0.0,AGT-180,1,1.0
CASE-100026,Policy Update,North,Low,Chat,Retail,2023-06-10,2023-06-11 13:00:00,3,37,Closed,0.0,AGT-163,0,5.0
CASE-100027,Customer Support,East,Medium,Email,Retail,2024-04-04,2024-04-08 04:00:00,10,100,Closed,0.0,AGT-245,0,3.0
CASE-100028,Billing,East,Medium,Phone,SME,2023-11-10,2023-11-11 16:00:00,5,40,Closed,0.0,AGT-134,0,3.0
CASE-100029,Customer Support,North,High,Email,Retail,2023-01-22,2023-01-26 04:00:00,10,100,Closed,0.0,AGT-215,0,5.0
CASE-100030,Policy Update,West,Medium,Email,Retail,2023-09-10,,5,7,Pending Customer,,AGT-176,0,
CASE-100031,Customer Support,West,High,Phone,Retail,2024-07-14,2024-07-14 22:00:00,3,22,Closed,0.0,AGT-116,0,4.0
CASE-100032,Claims Processing,South,Medium,Portal,SME,2024-04-19,2024-04-20 05:00:00,3,29,Closed,0.0,AGT-125,0,3.0
CASE-100033,Policy Update,Central,Low,Portal,Retail,2023-02-28,2023-03-05 08:00:00,15,128,Closed,0.0,AGT-167,1,3.0
CASE-100034,Policy Update,North,High,Portal,SME,2024-05-25,2024-05-26 19:00:00,7,43,Closed,0.0,AGT-130,0,4.0
CASE-100035,Onboarding,East,Medium,Chat,Retail,2024-11-12,2024-11-13 04:00:00,3,28,Closed,0.0,AGT-192,0,3.0
CASE-100036,Claims Processing,West,Low,Email,Corporate,2024-04-20,2024-04-22 07:00:00,7,55,Closed,0.0,AGT-174,0,4.0
CASE-100037,Claims Processing,West,Low,Email,Retail,2024-11-30,2024-12-01 08:00:00,5,32,Closed,0.0,AGT-226,0,2.0
CASE-100038,Billing,West,Critical,Phone,Retail,2023-07-09,2023-07-11 06:00:00,5,54,Closed,0.0,AGT-112,0,2.0
CASE-100039,Customer Support,West,Medium,Phone,Corporate,2024-11-17,2024-11-17 18:00:00,3,18,Closed,0.0,AGT-173,0,4.0
CASE-100040,Customer Support,West,Medium,Email,Retail,2024-07-16,2024-07-18 15:00:00,10,63,Closed,0.0,AGT-253,0,4.0
CASE-100041,Billing,South,High,Phone,Corporate,2024-07-20,,3,8,Cancelled,,AGT-175,0,
CASE-100042,Customer Support,Central,Medium,Email,Retail,2023-09-01,2023-09-03 09:00:00,5,57,Closed,0.0,AGT-227,0,3.0
CASE-100043,Billing,North,Medium,Email,SME,2024-05-19,,5,25,Pending Customer,,AGT-123,0,
CASE-100044,Policy Update,Central,Medium,Email,SME,2023-05-11,2023-05-12 02:00:00,3,26,Closed,0.0,AGT-295,0,4.0
CASE-100045,Policy Update,North,High,Phone,Corporate,2024-04-29,2024-04-30 05:00:00,5,29,Closed,0.0,AGT-281,0,1.0
CASE-100046,Billing,West,High,Phone,Retail,2024-10-08,2024-10-08 16:00:00,3,16,Closed,0.0,AGT-252,0,3.0
CASE-100047,Onboarding,South,Low,Portal,Corporate,2023-01-21,2023-01-22 14:00:00,5,38,Closed,0.0,AGT-281,0,4.0
CASE-100048,Claims Processing,East,Critical,Chat,Retail,2023-06-16,,10,66,Pending Customer,,AGT-221,1,
CASE-100049,Policy Update,West,Medium,Email,Retail,2023-10-01,2023-10-02 00:00:00,5,24,Closed,0.0,AGT-105,0,5.0
CASE-100050,Claims Processing,Central,Low,Chat,Retail,2024-01-23,2024-01-24 16:00:00,5,40,Closed,0.0,AGT-147,0,5.0
CASE-100051,Onboarding,North,High,Portal,SME,2024-08-23,2024-08-24 22:00:00,5,46,Closed,0.0,AGT-271,0,5.0
CASE-100052,Policy Update,West,High,Phone,Corporate,2023-11-12,2023-11-13 13:00:00,5,37,Closed,0.0,AGT-285,0,2.0
CASE-100053,Claims Processing,East,Low,Email,Retail,2023-01-14,2023-01-17 17:00:00,10,89,Closed,0.0,AGT-114,0,3.0
CASE-100054,Billing,West,Low,Email,Retail,2023-08-30,2023-08-31 17:00:00,3,41,Closed,0.0,AGT-278,0,5.0
CASE-100055,Billing,Central,High,Phone,Retail,2023-12-12,2023-12-16 11:00:00,10,107,Closed,0.0,AGT-156,0,4.0
CASE-100056,Policy Update,South,Medium,Phone,Retail,2024-07-18,2024-07-20 13:00:00,7,61,Closed,0.0,AGT-236,0,4.0
CASE-100057,Customer Support,Central,Low,Email,SME,2023-12-06,2023-12-08 02:00:00,7,50,Closed,0.0,AGT-253,0,2.0
CASE-100058,Onboarding,East,Medium,Email,Retail,2023-04-02,2023-04-02 09:00:00,3,9,Closed,0.0,AGT-128,0,5.0
CASE-100059,Onboarding,North,Medium,Portal,Corporate,2024-01-02,2024-01-03 05:00:00,3,29,Closed,0.0,AGT-288,0,3.0
CASE-100060,Policy Update,North,Medium,Chat,Retail,2024-03-30,,5,28,In Progress,,AGT-174,0,
CASE-100061,Customer Support,East,Medium,Chat,SME,2024-03-03,2024-03-06 00:00:00,10,72,Closed,0.0,AGT-165,0,3.0
CASE-100062,Onboarding,South,Medium,Portal,Corporate,2024-05-23,2024-05-24 17:00:00,5,41,Closed,0.0,AGT-290,0,4.0
CASE-100063,Customer Support,North,Low,Chat,Retail,2023-02-04,2023-02-05 01:00:00,3,25,Closed,0.0,AGT-126,0,3.0
CASE-100064,Customer Support,West,Medium,Portal,Retail,2023-07-25,2023-07-26 03:00:00,3,27,Closed,0.0,AGT-142,0,4.0
CASE-100065,Policy Update,West,Low,Email,Retail,2023-03-22,2023-03-24 15:00:00,7,63,Closed,0.0,AGT-144,1,3.0
CASE-100066,Claims Processing,North,Low,Email,SME,2024-07-15,2024-07-16 17:00:00,7,41,Closed,0.0,AGT-261,0,1.0
CASE-100067,Onboarding,East,Medium,Portal,Retail,2024-01-23,2024-01-24 11:00:00,3,35,Closed,0.0,AGT-278,0,5.0
CASE-100068,Customer Support,East,Critical,Email,SME,2023-01-02,2023-01-02 11:00:00,3,11,Closed,0.0,AGT-261,0,5.0
CASE-100069,Billing,Central,Low,Email,Retail,2024-01-25,2024-01-27 07:00:00,5,55,Closed,0.0,AGT-164,1,3.0
CASE-100070,Onboarding,West,High,Chat,SME,2024-07-19,2024-07-19 19:00:00,5,19,Closed,0.0,AGT-108,0,3.0
CASE-100071,Policy Update,North,Low,Email,Retail,2023-04-16,2023-04-17 19:00:00,7,43,Closed,0.0,AGT-139,0,4.0
CASE-100072,Onboarding,West,High,Phone,SME,2024-04-21,,10,56,In Progress,,AGT-272,0,
CASE-100073,Policy Update,South,Medium,Portal,Retail,2024-12-03,2024-12-05 04:00:00,7,52,Closed,0.0,AGT-195,0,5.0
CASE-100074,Onboarding,East,High,Chat,Corporate,2024-02-06,2024-02-07 00:00:00,3,24,Closed,0.0,AGT-229,0,4.0
CASE-100075,Billing,South,Low,Portal,Retail,2024-12-30,2024-12-31 22:00:00,7,46,Closed,0.0,AGT-259,0,5.0
CASE-100076,Claims Processing,East,Low,Email,Corporate,2024-07-09,,15,95,In Progress,,AGT-274,0,
CASE-100077,Policy Update,East,Medium,Phone,Corporate,2023-06-11,2023-06-15 06:00:00,10,102,Closed,0.0,AGT-237,0,3.0
CASE-100078,Onboarding,South,Medium,Phone,SME,2023-07-21,2023-07-22 11:00:00,10,35,Closed,0.0,AGT-172,0,4.0
CASE-100079,Policy Update,West,Medium,Chat,Retail,2023-09-27,2023-09-29 03:00:00,5,51,Closed,0.0,AGT-277,0,4.0
CASE-100080,Billing,West,Low,Portal,Retail,2023-09-28,2023-10-01 06:00:00,7,78,Closed,0.0,AGT-245,0,3.0
CASE-100081,Customer Support,Central,Medium,Phone,Corporate,2024-03-31,,10,20,In Progress,,AGT-176,0,
CASE-100082,Onboarding,North,Medium,Phone,Retail,2024-04-06,,7,29,In Progress,,AGT-262,0,
CASE-100083,Customer Support,South,Medium,Email,Retail,2024-12-27,,5,14,Pending Customer,,AGT-262,0,
CASE-100084,Policy Update,West,Medium,Portal,Retail,2023-09-09,2023-09-14 08:00:00,15,128,Closed,0.0,AGT-161,0,3.0
CASE-100085,Claims Processing,South,Medium,Email,Retail,2024-12-02,2024-12-03 02:00:00,5,26,Closed,0.0,AGT-214,0,2.0
CASE-100086,Claims Processing,North,Low,Chat,Retail,2023-10-23,2023-10-24 07:00:00,3,31,Closed,0.0,AGT-265,0,4.0
CASE-100087,Claims Processing,South,High,Phone,Corporate,2024-12-25,,3,19,In Progress,,AGT-134,0,
CASE-100088,Policy Update,West,Medium,Chat,SME,2024-12-20,2024-12-21 20:00:00,7,44,Closed,0.0,AGT-187,0,2.0
CASE-100089,Onboarding,North,High,Email,SME,2023-12-04,,5,24,In Progress,,AGT-112,0,
CASE-100090,Billing,West,Medium,Phone,Retail,2023-02-22,2023-02-22 12:00:00,3,12,Closed,0.0,AGT-254,0,4.0
CASE-100091,Claims Processing,West,Low,Portal,Retail,2023-08-05,,7,54,Escalated,,AGT-204,1,
CASE-100092,Onboarding,East,Low,Email,Retail,2023-07-07,2023-07-10 03:00:00,7,75,Closed,0.0,AGT-184,0,2.0
CASE-100093,Billing,Central,Low,Phone,Retail,2024-01-15,2024-01-16 10:00:00,7,34,Closed,0.0,AGT-231,0,3.0
CASE-100094,Billing,West,High,Chat,Retail,2024-05-07,,3,15,Cancelled,,AGT-167,0,
CASE-100095,Customer Support,Central,Low,Portal,Retail,2023-02-10,,7,48,Pending Customer,,AGT-255,0,
CASE-100096,Billing,East,Low,Chat,SME,2023-06-06,2023-06-07 02:00:00,3,26,Closed,0.0,AGT-109,1,2.0
CASE-100097,Onboarding,West,Low,Phone,Corporate,2023-01-15,2023-01-16 07:00:00,5,31,Closed,0.0,AGT-207,0,1.0
CASE-100098,Billing,South,High,Phone,Retail,2023-03-06,2023-03-08 03:00:00,5,51,Closed,0.0,AGT-165,0,3.0
CASE-100099,Policy Update,Central,High,Portal,Retail,2024-06-04,2024-06-08 14:00:00,10,110,Closed,0.0,AGT-165,0,3.0
CASE-100100,Customer Support,West,Medium,Email,Retail,2023-12-10,2023-12-11 16:00:00,5,40,Closed,0.0,AGT-214,0,2.0
CASE-100101,Billing,North,Medium,Email,Retail,2023-05-09,2023-05-10 05:00:00,3,29,Closed,0.0,AGT-146,0,4.0
CASE-100102,Billing,South,Critical,Phone,Corporate,2024-10-09,2024-10-11 02:00:00,5,50,Closed,0.0,AGT-296,0,3.0
CASE-100103,Claims Processing,South,Low,Phone,Retail,2024-04-16,,5,29,Pending Customer,,AGT-104,1,
CASE-100104,Customer Support,North,Critical,Phone,Corporate,2023-03-04,2023-03-07 08:00:00,10,80,Closed,0.0,AGT-259,0,4.0
CASE-100105,Billing,Central,Low,Chat,Retail,2023-05-19,,10,18,In Progress,,AGT-170,0,
CASE-100106,Claims Processing,South,Medium,Chat,Retail,2024-05-13,2024-05-14 08:00:00,3,32,Closed,0.0,AGT-197,0,4.0
CASE-100107,Customer Support,South,Medium,Chat,Retail,2024-08-15,2024-08-15 16:00:00,3,16,Closed,0.0,AGT-290,0,4.0
CASE-100108,Policy Update,Central,Medium,Portal,SME,2024-01-27,2024-01-28 07:00:00,3,31,Closed,0.0,AGT-150,0,5.0
CASE-100109,Billing,West,Medium,Portal,Retail,2024-11-05,,7,32,In Progress,,AGT-206,0,
CASE-100110,Claims Processing,East,Medium,Phone,Corporate,2024-02-23,2024-02-24 06:00:00,3,30,Closed,0.0,AGT-229,0,4.0
CASE-100111,Onboarding,North,Medium,Chat,Retail,2023-10-16,2023-10-17 06:00:00,3,30,Closed,0.0,AGT-154,0,5.0
CASE-100112,Policy Update,South,Medium,Chat,Retail,2024-01-14,2024-01-16 00:00:00,5,48,Closed,0.0,AGT-253,0,3.0
CASE-100113,Billing,Central,Medium,Phone,Retail,2024-05-04,2024-05-04 11:00:00,3,11,Closed,0.0,AGT-292,1,4.0
CASE-100114,Customer Support,West,Medium,Portal,Retail,2023-08-19,2023-08-19 21:00:00,3,21,Closed,0.0,AGT-130,0,2.0
CASE-100115,Customer Support,West,High,Phone,SME,2023-02-10,2023-02-11 19:00:00,5,43,Closed,0.0,AGT-118,0,4.0
CASE-100116,Claims Processing,North,Low,Email,Retail,2023-01-28,,5,27,In Progress,,AGT-244,0,
CASE-100117,Customer Support,West,Low,Phone,SME,2023-05-15,2023-05-15 20:00:00,5,20,Closed,0.0,AGT-107,0,4.0
CASE-100118,Billing,East,Medium,Portal,Retail,2023-07-20,2023-07-25 15:00:00,15,135,Closed,0.0,AGT-281,0,4.0
CASE-100119,Claims Processing,West,High,Chat,Retail,2023-02-02,2023-02-02 23:00:00,3,23,Closed,0.0,AGT-165,0,1.0
CASE-100120,Onboarding,West,Medium,Portal,Retail,2023-02-17,2023-02-18 22:00:00,5,46,Closed,0.0,AGT-281,0,5.0
CASE-100121,Claims Processing,North,Medium,Phone,SME,2024-05-17,,10,43,Escalated,,AGT-257,0,
CASE-100122,Billing,South,Medium,Phone,SME,2024-02-11,2024-02-13 21:00:00,10,69,Closed,0.0,AGT-184,0,2.0
CASE-100123,Billing,North,Low,Phone,Corporate,2024-07-27,,5,34,Pending Customer,,AGT-123,0,
CASE-100124,Customer Support,North,Medium,Portal,SME,2024-12-28,2024-12-30 03:00:00,7,51,Closed,0.0,AGT-132,0,5.0
CASE-100125,Policy Update,West,High,Phone,Retail,2023-04-09,2023-04-09 13:00:00,3,13,Closed,0.0,AGT-114,0,5.0
CASE-100126,Claims Processing,North,Medium,Chat,Retail,2024-11-14,2024-11-16 12:00:00,7,60,Closed,0.0,AGT-266,0,4.0
CASE-100127,Claims Processing,East,Low,Chat,SME,2024-12-26,2025-01-02 03:00:00,15,171,Closed,0.0,AGT-275,0,4.0
CASE-100128,Policy Update,East,Medium,Phone,SME,2024-06-30,,5,39,In Progress,,AGT-286,0,
CASE-100129,Policy Update,West,Low,Phone,Retail,2024-09-04,2024-09-05 16:00:00,5,40,Closed,0.0,AGT-107,0,5.0
CASE-100130,Customer Support,East,Medium,Email,Retail,2024-04-06,2024-04-06 16:00:00,3,16,Closed,0.0,AGT-126,1,4.0
CASE-100131,Billing,East,Medium,Phone,SME,2024-10-04,2024-10-06 22:00:00,7,70,Closed,0.0,AGT-133,1,4.0
CASE-100132,Onboarding,East,Medium,Phone,Retail,2023-01-05,2023-01-06 13:00:00,5,37,Closed,0.0,AGT-157,0,4.0
CASE-100133,Onboarding,South,Medium,Portal,Retail,2023-08-06,2023-08-10 02:00:00,7,98,Closed,0.0,AGT-158,0,3.0
CASE-100134,Onboarding,West,Low,Chat,Retail,2024-05-17,2024-05-17 18:00:00,3,18,Closed,0.0,AGT-292,0,3.0
CASE-100135,Billing,East,Critical,Portal,SME,2024-02-02,2024-02-03 03:00:00,5,27,Closed,0.0,AGT-107,1,5.0
CASE-100136,Policy Update,Central,High,Chat,Retail,2024-01-28,,5,7,In Progress,,AGT-299,0,
CASE-100137,Billing,North,Low,Chat,Retail,2023-07-26,2023-07-26 13:00:00,3,13,Closed,0.0,AGT-193,0,1.0
CASE-100138,Policy Update,East,Low,Chat,Retail,2023-01-15,2023-01-16 02:00:00,3,26,Closed,0.0,AGT-160,0,4.0
CASE-100139,Onboarding,East,Medium,Phone,SME,2024-07-07,2024-07-08 19:00:00,5,43,Closed,0.0,AGT-170,0,5.0
CASE-100140,Claims Processing,East,Medium,Portal,Retail,2024-04-05,2024-04-08 12:00:00,7,84,Closed,0.0,AGT-132,0,3.0
CASE-100141,Claims Processing,West,Low,Portal,Retail,2024-11-21,2024-11-23 08:00:00,7,56,Closed,0.0,AGT-188,0,5.0
CASE-100142,Claims Processing,East,Low,Phone,SME,2024-07-28,2024-08-01 01:00:00,10,97,Closed,0.0,AGT-205,0,4.0
CASE-100143,Claims Processing,North,High,Portal,SME,2023-08-29,2023-08-30 21:00:00,5,45,Closed,0.0,AGT-146,0,5.0
CASE-100144,Claims Processing,Central,Low,Portal,Retail,2024-07-17,2024-07-22 04:00:00,10,124,Closed,0.0,AGT-113,0,3.0
CASE-100145,Billing,East,Low,Email,Retail,2023-04-06,2023-04-08 14:00:00,7,62,Closed,0.0,AGT-280,0,1.0
CASE-100146,Customer Support,North,Medium,Chat,Retail,2024-04-29,2024-04-30 18:00:00,5,42,Closed,0.0,AGT-281,0,3.0
CASE-100147,Policy Update,South,Medium,Chat,SME,2024-02-11,2024-02-12 00:00:00,3,24,Closed,0.0,AGT-238,0,4.0
CASE-100148,Onboarding,South,Low,Email,Retail,2023-08-19,2023-08-19 18:00:00,5,18,Closed,0.0,AGT-289,0,2.0
CASE-100149,Claims Processing,North,High,Portal,Retail,2024-10-16,2024-10-23 01:00:00,15,169,Closed,0.0,AGT-131,0,3.0
CASE-100150,Onboarding,Central,Low,Email,Retail,2023-06-20,2023-06-20 23:00:00,5,23,Closed,0.0,AGT-237,0,2.0
CASE-100151,Claims Processing,Central,Medium,Phone,Retail,2024-06-24,2024-06-25 18:00:00,5,42,Closed,0.0,AGT-181,0,3.0
CASE-100152,Policy Update,South,Low,Phone,Retail,2023-02-05,2023-02-06 02:00:00,3,26,Closed,0.0,AGT-187,0,5.0
CASE-100153,Customer Support,North,Medium,Phone,Retail,2024-06-08,,10,7,In Progress,,AGT-144,0,
CASE-100154,Claims Processing,North,Medium,Portal,Retail,2023-06-09,2023-06-10 20:00:00,5,44,Closed,0.0,AGT-108,0,5.0
CASE-100155,Policy Update,West,Medium,Chat,Retail,2024-11-29,2024-12-01 05:00:00,5,53,Closed,0.0,AGT-110,1,4.0
CASE-100156,Customer Support,South,High,Phone,SME,2023-08-31,2023-09-01 19:00:00,5,43,Closed,0.0,AGT-124,0,3.0
CASE-100157,Policy Update,South,Low,Portal,Retail,2023-03-27,2023-03-28 09:00:00,5,33,Closed,0.0,AGT-276,0,4.0
CASE-100158,Policy Update,West,High,Phone,SME,2024-07-31,,5,31,Pending Customer,,AGT-168,0,
CASE-100159,Onboarding,Central,High,Phone,Retail,2024-11-12,2024-11-13 01:00:00,5,25,Closed,0.0,AGT-197,0,3.0
CASE-100160,Claims Processing,East,Low,Email,Corporate,2024-07-10,2024-07-13 00:00:00,10,72,Closed,0.0,AGT-267,1,3.0
CASE-100161,Billing,East,Low,Chat,Retail,2024-07-27,2024-07-29 15:00:00,10,63,Closed,0.0,AGT-222,0,5.0
CASE-100162,Billing,East,High,Phone,SME,2024-10-07,2024-10-10 06:00:00,7,78,Closed,0.0,AGT-118,0,2.0
CASE-100163,Claims Processing,West,Medium,Phone,Corporate,2023-01-28,2023-01-29 00:00:00,3,24,Closed,0.0,AGT-191,1,4.0
CASE-100164,Policy Update,South,Medium,Chat,Retail,2024-09-11,2024-09-13 10:00:00,7,58,Closed,0.0,AGT-115,0,5.0
CASE-100165,Claims Processing,East,Medium,Chat,Retail,2024-07-09,2024-07-09 19:00:00,3,19,Closed,0.0,AGT-244,1,4.0
CASE-100166,Claims Processing,South,Medium,Chat,SME,2023-12-06,2023-12-06 21:00:00,3,21,Closed,0.0,AGT-193,0,5.0
CASE-100167,Customer Support,Central,Low,Email,Retail,2023-11-27,2023-12-01 04:00:00,10,100,Closed,0.0,AGT-197,0,5.0
CASE-100168,Customer Support,East,Medium,Email,Retail,2024-10-01,,10,21,Cancelled,,AGT-255,0,
CASE-100169,Claims Processing,West,Low,Chat,SME,2024-05-20,2024-05-21 19:00:00,5,43,Closed,0.0,AGT-137,0,4.0
CASE-100170,Onboarding,East,Medium,Chat,SME,2023-12-14,2023-12-18 14:00:00,10,110,Closed,0.0,AGT-248,0,2.0
CASE-100171,Onboarding,West,Low,Phone,Retail,2024-04-17,2024-04-20 20:00:00,15,92,Closed,0.0,AGT-292,0,1.0
CASE-100172,Customer Support,West,Low,Portal,Retail,2023-08-19,2023-08-22 05:00:00,7,77,Closed,0.0,AGT-250,0,4.0
CASE-100173,Policy Update,East,Low,Phone,Retail,2023-07-09,2023-07-11 14:00:00,7,62,Closed,0.0,AGT-245,0,2.0
CASE-100174,Customer Support,North,Medium,Portal,Retail,2023-08-13,2023-08-15 23:00:00,7,71,Closed,0.0,AGT-157,0,5.0
CASE-100175,Onboarding,South,High,Phone,Retail,2024-01-20,2024-01-20 17:00:00,3,17,Closed,0.0,AGT-189,0,4.0
CASE-100176,Billing,East,High,Chat,SME,2024-01-12,2024-01-12 23:00:00,3,23,Closed,0.0,AGT-263,0,4.0
CASE-100177,Onboarding,West,Low,Email,Retail,2023-10-10,2023-10-12 07:00:00,7,55,Closed,0.0,AGT-125,0,4.0
CASE-100178,Claims Processing,East,High,Phone,SME,2024-09-24,2024-09-25 14:00:00,5,38,Closed,0.0,AGT-206,0,4.0
CASE-100179,Claims Processing,West,High,Chat,SME,2024-09-19,,3,7,In Progress,,AGT-261,0,
CASE-100180,Policy Update,West,Low,Portal,Retail,2023-09-16,2023-09-16 21:00:00,5,21,Closed,0.0,AGT-285,0,4.0
CASE-100181,Billing,East,Medium,Portal,Retail,2023-12-25,2023-12-26 16:00:00,5,40,Closed,0.0,AGT-144,1,4.0
CASE-100182,Claims Processing,Central,Medium,Portal,SME,2024-12-10,2024-12-14 17:00:00,15,113,Closed,0.0,AGT-292,0,4.0
CASE-100183,Onboarding,West,Low,Phone,SME,2024-03-31,2024-04-02 02:00:00,7,50,Closed,0.0,AGT-101,0,3.0
CASE-100184,Billing,North,Low,Email,Retail,2024-02-15,,5,26,In Progress,,AGT-275,0,
CASE-100185,Claims Processing,South,Medium,Portal,Retail,2024-10-10,2024-10-14 15:00:00,15,111,Closed,0.0,AGT-292,0,4.0
CASE-100186,Billing,South,Low,Email,Corporate,2023-11-14,2023-11-17 07:00:00,10,79,Closed,0.0,AGT-124,0,3.0
CASE-100187,Customer Support,East,Medium,Email,Retail,2024-11-07,2024-11-08 16:00:00,5,40,Closed,0.0,AGT-266,0,2.0
CASE-100188,Billing,West,High,Email,SME,2023-08-13,,10,62,Escalated,,AGT-263,0,
CASE-100189,Billing,North,Medium,Chat,Retail,2023-08-22,2023-08-23 09:00:00,5,33,Closed,0.0,AGT-262,0,3.0
CASE-100190,Onboarding,East,Low,Portal,Retail,2024-11-14,2024-11-14 15:00:00,3,15,Closed,0.0,AGT-181,0,5.0
CASE-100191,Onboarding,Central,Low,Phone,SME,2024-10-25,2024-10-26 02:00:00,3,26,Closed,0.0,AGT-267,0,3.0
CASE-100192,Claims Processing,West,Medium,Phone,SME,2024-01-09,2024-01-11 21:00:00,7,69,Closed,0.0,AGT-127,0,4.0
CASE-100193,Customer Support,West,Medium,Portal,Retail,2024-11-02,2024-11-03 14:00:00,5,38,Closed,0.0,AGT-209,0,4.0
CASE-100194,Customer Support,East,High,Portal,Retail,2024-08-30,2024-08-31 16:00:00,7,40,Closed,0.0,AGT-191,1,2.0
CASE-100195,Billing,Central,Medium,Email,Retail,2024-04-16,2024-04-18 15:00:00,7,63,Closed,0.0,AGT-246,0,4.0
CASE-100196,Billing,North,High,Email,SME,2023-08-21,2023-08-21 18:00:00,3,18,Closed,0.0,AGT-138,0,4.0
CASE-100197,Customer Support,East,Medium,Portal,Retail,2024-11-22,,3,16,In Progress,,AGT-251,0,
CASE-100198,Claims Processing,Central,Medium,Portal,Retail,2023-04-23,,5,13,Escalated,,AGT-262,0,
CASE-100199,Billing,West,High,Chat,Retail,2024-05-11,,3,12,In Progress,,AGT-269,0,
CASE-100200,Policy Update,West,Low,Portal,Retail,2024-03-17,,7,7,Pending Customer,,AGT-184,0,
CASE-100201,Onboarding,West,Low,Portal,Retail,2024-07-17,2024-07-18 13:00:00,5,37,Closed,0.0,AGT-142,0,2.0
CASE-100202,Onboarding,Central,High,Portal,SME,2023-09-25,2023-09-26 14:00:00,5,38,Closed,0.0,AGT-262,0,1.0
CASE-100203,Customer Support,West,Low,Chat,SME,2024-05-24,,5,8,Escalated,,AGT-135,0,
CASE-100204,Onboarding,Central,Critical,Email,Retail,2024-01-21,2024-01-22 22:00:00,7,46,Closed,0.0,AGT-261,0,2.0
CASE-100205,Claims Processing,West,Medium,Email,Retail,2024-01-22,2024-01-22 11:00:00,10,11,Closed,0.0,AGT-265,0,4.0
